id;relatie;rolnaam;jeugdschaatsen;startdatum_rol;einddatum_rol
efb3a971-2e1a-4e7c-84e3-22dd6febdbd6;0cbb3f45-7a27-41c8-9edf-fe7196b4c173;Salade deposit Communications;false;2021-07-07T10:14:54;2021-07-07T21:25:33
a545071f-555a-4e26-aac1-20b8f594f27c;de9558cd-adc7-4f64-811b-c43d3c31dd6d;onderliggende communities withdrawal;false;2021-07-07T10:14:40;2021-07-07T03:13:22
d710532e-107e-4a98-9b1d-ded94ce789ba;aa2c05ac-a062-44d3-8459-348727cf1b2a;hierarchy Speelgoed Spelletjes;true;2021-07-07T03:58:25;2021-07-07T15:52:19
c7e36162-198c-4810-bb94-4dadbe7bbb2f;d7b7a2d2-91ff-43f3-ae84-642cccb51987;alarm Huis;true;2021-07-07T03:15:54;2021-07-06T23:52:40
e1068b54-04df-41cc-80fc-2c15bcb14cb9;1e24158e-da8b-4775-8249-79a992384583;omzeilen Boekenkast Uitgekiend;true;2021-07-07T10:58:58;2021-07-07T09:39:12
4685e016-0697-4a1d-8ffd-161ec1f8610c;aebf8825-5c28-4f9b-9f81-db52b3098be7;Director straat;true;2021-07-07T12:04:46;2021-07-07T08:19:47
ef35a553-6b21-40dd-931f-50611bf0ffb7;f4ac42b0-8729-4055-97d9-fe5b4cedb6a0;COM;false;2021-07-07T00:27:27;2021-07-07T21:20:54
703a6aab-d422-421c-83d4-4fa2c039a5c4;20b22dd2-6448-4fda-90f6-59d61cfc256b;Optimization;false;2021-07-07T08:55:53;2021-07-06T22:36:44
718e02c9-8f76-4213-a11b-54036e77886e;318375b4-b4f3-4686-ba7e-90101022363c;leading verzenden eco-centric;true;2021-07-07T16:41:03;2021-07-06T23:25:16
6177afad-e08e-49e8-a797-b009741e4183;41528168-3068-43c7-9c8d-56cd3f143de4;Intelligent copying incubate;true;2021-07-07T08:28:55;2021-07-07T17:43:02
